K,T,d,dl_cum_regret,flat_cum_regret,n,n_arms,num_actions,part,r_avg_mean,r_avg_std
2,300,,22.141567284085934,67.09127748036825,4,81,3,a,,
3,300,,43.268837078912235,70.76761553932594,6,729,3,a,,
4,300,,39.08844809952228,58.45990004476591,8,6561,3,a,,
1,400,64.0,,,64,,,b,0.24961345615875918,0.022239158809946768
2,400,32.0,,,64,,,b,0.12484705808149685,0.015534459078616707
4,400,16.0,,,64,,,b,0.06713578602379572,0.008268792812340971
8,400,8.0,,,64,,,b,0.030981294961575315,0.0035030230872145646
16,400,4.0,,,64,,,b,0.014991956976696497,0.0009442350653170234
32,400,2.0,,,64,,,b,0.007604876509615949,0.000707052123156236
