problem,size,method,instance_seed,hv_ratio,num_nondominated,wallclock_sec,num_evals
Bi-KP,50,D&L,70000,0.65107693110511,4,10.347581987967715,1680
Bi-KP,50,D&L-TS,70000,0.36504115951104327,2,13.29329714702908,1680
Bi-KP,50,WS-heuristic,70000,0.9078917328741211,10,0.05358700000215322,1512
Bi-KP,50,NSGA-II,70000,0.8405052639818402,7,1.249771582952235,2400
Bi-KP,50,BO,70000,0.43784652916389444,3,3.676392933994066,396
Bi-KP,50,D&L,70001,0.4771123872026251,6,16.503652718965895,1680
Bi-KP,50,D&L-TS,70001,0.39067404976756903,5,16.502354064024985,1680
Bi-KP,50,WS-heuristic,70001,0.8787011211375444,7,0.031659780011978,1412
Bi-KP,50,NSGA-II,70001,0.8186915504511895,8,0.4742731080041267,2400
Bi-KP,50,BO,70001,0.4488337435056057,4,2.1641775220050476,396
Bi-KP,50,D&L,70002,0.41961678096006455,4,13.452081225987058,1680
Bi-KP,50,D&L-TS,70002,0.3828290977544709,3,14.281648037023842,1680
Bi-KP,50,WS-heuristic,70002,0.8799354578459057,7,0.03400094399694353,1412
Bi-KP,50,NSGA-II,70002,0.7796396396396397,7,0.49909857695456594,2400
Bi-KP,50,BO,70002,0.47236654565012776,6,3.737453949986957,396
Bi-KP,50,D&L,70003,0.46210536556890597,4,11.179635702981614,1680
Bi-KP,50,D&L-TS,70003,0.4564017123121078,3,17.317245632002596,1680
Bi-KP,50,WS-heuristic,70003,0.9047607465421349,8,0.0626059629721567,1562
Bi-KP,50,NSGA-II,70003,0.7606614129817905,5,0.6199397019809112,2400
Bi-KP,50,BO,70003,0.4611811061925378,3,1.9569609140162356,396
Bi-KP,50,D&L,70004,0.5786583019835841,6,11.6309282759903,1680
Bi-KP,50,D&L-TS,70004,0.5073208789329685,2,10.640011589974165,1680
Bi-KP,50,WS-heuristic,70004,0.8672633806429548,10,0.028802834975067526,1462
Bi-KP,50,NSGA-II,70004,0.799140731874145,8,0.3864346179761924,2400
Bi-KP,50,BO,70004,0.5639887568399453,6,5.03626655600965,396
Bi-KP,50,D&L,70005,0.3314377668436947,7,14.908863600052428,1680
Bi-KP,50,D&L-TS,70005,0.379276007497657,2,16.099868735997006,1680
Bi-KP,50,WS-heuristic,70005,0.9220816411538061,6,0.03051024000160396,1462
Bi-KP,50,NSGA-II,70005,0.8710005987712174,8,0.41485236800508574,2400
Bi-KP,50,BO,70005,0.3474012027491409,4,1.676611163013149,396
Bi-KP,50,D&L,70006,0.5766488301858419,2,14.17445032397518,1680
Bi-KP,50,D&L-TS,70006,0.4556656933879706,4,14.458308908971958,1680
Bi-KP,50,WS-heuristic,70006,0.9475912396563031,6,0.028841898019891232,1412
Bi-KP,50,NSGA-II,70006,0.8611574079875688,4,0.42264673399040475,2400
Bi-KP,50,BO,70006,0.49411437904401473,3,1.5566797819919884,396
Bi-KP,50,D&L,70007,0.4222520970313196,4,15.510111370997038,1680
Bi-KP,50,D&L-TS,70007,0.40191404811389514,1,11.543178740015719,1680
Bi-KP,50,WS-heuristic,70007,0.8642782271876215,10,0.028655045956838876,1462
Bi-KP,50,NSGA-II,70007,0.778619938344575,11,0.4059741480159573,2400
Bi-KP,50,BO,70007,0.2463306780809041,4,1.6970988920074888,396
Bi-KP,50,D&L,70008,0.38951945803240484,5,14.410898639005609,1680
Bi-KP,50,D&L-TS,70008,0.3266997386283585,6,12.778411464998499,1680
Bi-KP,50,WS-heuristic,70008,0.9292963375051846,7,0.02762772102141753,1362
Bi-KP,50,NSGA-II,70008,0.8317625797446854,5,0.41189736599335447,2400
Bi-KP,50,BO,70008,0.43151009605572416,4,1.4430239390349016,396
Bi-KP,50,D&L,70009,0.4670687851913406,2,11.410637071006931,1680
