activation,rep,T_n,T_n_pruned,pruned_dim,E_val
Tanh,0,94.84442138671875,94.80264282226562,9,0.9999988675117493
Tanh,1,55.5971794128418,55.584041595458984,9,0.9999980330467224
Tanh,2,169.43417358398438,169.43411254882812,9,0.9999986886978149
Tanh,3,93.46442413330078,93.45850372314453,9,0.9999974966049194
Tanh,4,87.47279357910156,87.46443176269531,9,0.9999950528144836
Tanh,5,68.62423706054688,68.62203216552734,9,0.9999979138374329
Tanh,6,60.048179626464844,60.048072814941406,9,0.9999979138374329
Tanh,7,62.023765563964844,62.02330017089844,9,0.9999983310699463
Tanh,8,98.05162811279297,98.01509094238281,9,0.999998927116394
Tanh,9,93.32034301757812,93.31867980957031,9,0.9999985694885254
Tanh,10,73.83299255371094,73.83106994628906,9,0.9999987483024597
Tanh,11,101.91968536376953,101.9134750366211,9,0.9999976754188538
Tanh,12,67.52265930175781,67.52139282226562,9,0.999998927116394
Tanh,13,51.2673454284668,51.26708221435547,9,0.9999948740005493
Tanh,14,87.60557556152344,87.5989990234375,9,0.9999982118606567
Tanh,15,80.1029052734375,80.09758758544922,9,0.9999978542327881
Tanh,16,74.21337127685547,74.17631530761719,9,0.9999971985816956
Tanh,17,50.88840103149414,50.87598419189453,9,0.999998152256012
Tanh,18,76.65404510498047,76.6307144165039,9,0.9999978542327881
Tanh,19,91.5625228881836,91.55823516845703,9,0.9999991655349731
Tanh,20,93.49884033203125,93.2659683227539,9,0.9999985098838806
Tanh,21,76.19960021972656,76.19856262207031,9,0.999998927116394
Tanh,22,73.12955474853516,73.12750244140625,9,0.9999964833259583
Tanh,23,76.28236389160156,76.26464080810547,9,0.9999985098838806
Tanh,24,110.58387756347656,110.5825424194336,9,0.9999919533729553
Tanh,25,55.780975341796875,55.777008056640625,9,0.9999951720237732
Tanh,26,70.76685333251953,70.76185607910156,9,0.9999974370002747
Tanh,27,115.01394653320312,115.01375579833984,9,0.9999982118606567
Tanh,28,52.85619354248047,52.84729766845703,9,0.9999985098838806
Tanh,29,82.11834716796875,82.10992431640625,9,0.9999963641166687
Identity_unbounded,0,3.9426825046539307,3.942683219909668,9,1.0000003576278687
Identity_unbounded,1,7.806491851806641,7.806491851806641,9,1.000000238418579
Identity_unbounded,2,8.995920181274414,8.995919227600098,9,1.0000003576278687
Identity_unbounded,3,6.553684711456299,6.553686618804932,9,0.9999999403953552
Identity_unbounded,4,11.384233474731445,11.384231567382812,9,1.000000238418579
Identity_unbounded,5,13.563248634338379,13.563248634338379,9,1.000000238418579
Identity_unbounded,6,11.542281150817871,11.542280197143555,9,1.000000238418579
Identity_unbounded,7,11.54808521270752,11.54808521270752,9,1.000000238418579
Identity_unbounded,8,13.187481880187988,13.187481880187988,9,1.0000004768371582
Identity_unbounded,9,17.1175479888916,17.117544174194336,9,1.000000238418579
Identity_unbounded,10,9.364633560180664,9.364635467529297,9,1.000000238418579
Identity_unbounded,11,11.861030578613281,11.861030578613281,9,1.0000001192092896
Identity_unbounded,12,11.567031860351562,11.567033767700195,9,1.0000003576278687
Identity_unbounded,13,5.757092475891113,5.757091999053955,9,1.000000238418579
Identity_unbounded,14,12.10051441192627,12.10051441192627,9,1.0000003576278687
Identity_unbounded,15,7.477402687072754,7.4774017333984375,9,1.000000238418579
Identity_unbounded,16,5.888759136199951,5.888760089874268,9,1.000000238418579
Identity_unbounded,17,13.921058654785156,13.92105484008789,9,1.000000238418579
Identity_unbounded,18,10.199658393859863,10.199658393859863,9,1.000000238418579
Identity_unbounded,19,6.47830867767334,6.478307247161865,9,1.000000238418579
Identity_unbounded,20,13.363128662109375,13.363128662109375,9,1.0000003576278687
Identity_unbounded,21,7.5875020027160645,7.587501525878906,9,1.0000001192092896
Identity_unbounded,22,18.71691131591797,18.716909408569336,9,1.0000001192092896
Identity_unbounded,23,9.435157775878906,9.43515682220459,9,1.000000238418579
Identity_unbounded,24,16.144269943237305,16.14426612854004,9,1.0000003576278687
Identity_unbounded,25,7.179306507110596,7.179306507110596,9,1.0000004768371582
Identity_unbounded,26,15.179571151733398,15.179567337036133,9,1.000000238418579
Identity_unbounded,27,7.637940406799316,7.637940883636475,9,1.000000238418579
Identity_unbounded,28,15.058578491210938,15.058575630187988,9,1.000000238418579
Identity_unbounded,29,6.533542156219482,6.533541679382324,9,1.000000238418579
