side,n_reps,signal_mean_avg,signal_mean_std,noise_mean_avg,noise_mean_std,random_mean_avg,gap_signal_minus_noise
u,10,0.8911450241900012,0.04290583326676254,0.5492274349089512,0.1084661198901554,0.21500372425845563,0.3419175892810498
v,10,0.8490482739818999,0.06296047827411111,0.5532627464657838,0.14172863320468848,0.2195466919990549,0.2957855275161161
