condition,strength,is_null,n_reps,mean_Tn,std_Tn,reject_rate_raw,pruned_dim,mean_Tn_pruned,std_Tn_pruned,reject_rate_pruned,ks_stat,ks_pvalue,ks_stat_pruned,ks_pvalue_pruned
H0,0.0,True,30,65.71238873799642,19.616815115166393,0.0,9,65.70045852661133,19.607861869123614,0.06666666666666667,0.7745322691507164,1.8228097568392031e-19,0.5359329498821412,1.3934557802723352e-08
H1_str0.05,0.05,False,30,74.71970570882162,16.46320533959487,0.0,9,74.71326967875163,16.465165182811504,0.06666666666666667,,,,
H1_str0.15,0.15,False,30,219.26814829508464,32.717523027928,1.0,9,219.262006632487,32.71801657679856,1.0,,,,
H1_str0.5,0.5,False,30,1181.9800211588542,96.06806484702251,1.0,9,1165.3148213704428,91.22739422416,1.0,,,,
