regime,T,Gaussian,shell,2-Gauss-mix-1.5,2-Gauss-mix-3,SGG(p=1.0),SGG(p=1.3),SGG(p=3.0),best_competitor,margin_vs_gauss
inside (delta<=delta_star),2,0.0009999999999999,1.0,0.0001205321368882,2.2448727293463422e-05,0.0,0.0,0.006866414611349,SGG(p=1.0),-1.0
inside (delta<=delta_star),4,0.0009999999999999,1.0,0.0001285961478207,0.0013676673057924,0.0,7.432159057624349e-06,0.0048088077037818,SGG(p=1.0),-1.0
inside (delta<=delta_star),8,0.0009999999999999,1.0,0.0001899000180341,0.0088584707733558,9.279392321816772e-05,0.0001581677746958,0.0032502474999674,SGG(p=1.0),-0.9072060767818316
inside (delta<=delta_star),16,0.0009999999999999,1.0,0.0006626119787976,0.014440979460835,0.0004837987080227,0.0004791158024652,0.0022460496302368,SGG(p=1.3),-0.5208841975347436
inside (delta<=delta_star),32,0.0009999999999999,1.0,0.0014847217414029,0.0160187523500207,0.0007376101833989,0.0007206414981869,0.0016623034808092,SGG(p=1.3),-0.2793585018130474
inside (delta<=delta_star),64,0.0009999999999999,1.0,0.0022374512021287,0.016118605196276,0.0008688248971958,0.0008565640995362,0.0013431310519621,SGG(p=1.3),-0.1434359004637746
inside (delta<=delta_star),128,0.0009999999999999,1.0,0.002559554872194,0.0163184026637872,0.0009345343888569,0.0009274637563569,0.001174988542953,SGG(p=1.3),-0.0725362436430433
inside (delta<=delta_star),256,0.0009999999999999,1.0,0.0024304302947131,0.0165892013265031,0.0009673111698576,0.0009635421221277,0.0010884199620425,SGG(p=1.3),-0.03645787787227
