eps,delta_orig,delta_symm,improved
0.25,0.2809106854769166,0.24503128450437742,True
0.5,0.1923005051122129,0.16086915167972474,True
1.0,0.07125912148981428,0.018058725052836042,True
2.0,0.0,0.0,True
3.0,0.0,0.0,True
