eps,delta_star_paper,delta_star_ours,rel_diff,u_star
0.25,0.73667,0.7366704461911872,6.056866534986938e-07,0.17585273489655212
0.5,0.70697,0.7069695120050058,-6.902626620286512e-07,0.1743538080690818
1.0,0.649185,0.6491851516984538,2.3367522938855245e-07,0.16878919643131554
2.0,0.549133,0.5491332979690015,5.426171829636672e-07,0.1514990227040835
4.0,0.416972,0.4169718206125705,-4.302145696355453e-07,0.11564331470940052
8.0,0.29217,0.2921698057428442,-6.648771462280934e-07,0.07259323759937182
16.0,0.197615,0.19761526689357117,1.3505734441920936e-06,0.039553620000806346
