T,delta,mse_gauss,mse_l2,mse_sgg,sgg_alpha,sgg_p,gain_pct_ours,gain_pct_paper,p_star_paper
2,0.00225,431.5121560432724,429.7871408467273,362.93319592214465,0.9369008392095565,1.3685898727178567,15.555129172285875,15.5,1.37
5,0.00146,1304.0009283350214,1298.8736506395383,1186.477786962595,3.4873736369968236,1.5775805233884603,8.653333110699556,6.2,1.32
10,0.00118,2842.02014944113,2831.208945923719,2699.7058005343347,7.689458871489114,1.6288499015224804,4.644770057636272,2.5,1.92
