T,delta,mse_gauss,mse_l2,mse_sgg,sgg_alpha,sgg_p,gain_pct_ours,gain_pct_paper,p_star_paper,eps,delta_star_paper,delta_star_ours,rel_diff,u_star
2.0,0.00225,431.5121560432724,429.7871408467273,362.9331959221447,0.9369008392095564,1.3685898727178567,15.555129172285875,15.5,1.37,0.25,0.73667,0.7366704461911872,6.056866534986938e-07,0.1758527348965521
5.0,0.00146,1304.0009283350214,1298.8736506395385,1186.477786962595,3.487373636996824,1.5775805233884603,8.653333110699556,6.2,1.32,0.5,0.70697,0.7069695120050058,-6.902626620286512e-07,0.1743538080690818
10.0,0.00118,2842.02014944113,2831.208945923719,2699.7058005343347,7.689458871489114,1.6288499015224804,4.644770057636272,2.5,1.92,1.0,0.649185,0.6491851516984538,2.3367522938855245e-07,0.1687891964313155
,,,,,,,,,,2.0,0.549133,0.5491332979690015,5.426171829636672e-07,0.1514990227040835
,,,,,,,,,,4.0,0.416972,0.4169718206125705,-4.302145696355453e-07,0.1156433147094005
,,,,,,,,,,8.0,0.29217,0.2921698057428442,-6.648771462280934e-07,0.0725932375993718
,,,,,,,,,,16.0,0.197615,0.1976152668935711,1.3505734441920936e-06,0.0395536200008063
