fn,kind,layers,max_rel_err,mean_rel_err,midpoint_violations,midpoint_pairs
quad,convex,"[4, 20, 4]",0.2082093571999792,0.03424459875302888,0,813
quad,convex,"[12, 60, 12]",0.3065347837328885,0.06548213984340633,0,780
sepnorm,convex,"[4, 20, 4]",0.18281981177513393,0.04042237795460357,0,794
sepnorm,convex,"[12, 60, 12]",0.12328166607482058,0.025269998853610684,0,768
maxaff,convex,"[4, 20, 4]",0.24817137779080642,0.06865642893436623,0,753
maxaff,convex,"[12, 60, 12]",0.22118674581616626,0.07032629482880383,0,783
CONTROL_concave,not convex-extendible,"[12, 60, 12]",0.5186265170781387,0.16535095843491812,0,722
