fn,kind,layers,max_rel_err,mean_rel_err,midpoint_violations,midpoint_pairs
quad,convex,"[4, 20, 4]",0.2082093571999792,0.0342445987530288,0,813
quad,convex,"[12, 60, 12]",0.3065347837328885,0.0654821398434063,0,780
sepnorm,convex,"[4, 20, 4]",0.1828198117751339,0.0404223779546035,0,794
sepnorm,convex,"[12, 60, 12]",0.1232816660748205,0.0252699988536106,0,768
maxaff,convex,"[4, 20, 4]",0.2481713777908064,0.0686564289343662,0,753
maxaff,convex,"[12, 60, 12]",0.2211867458161662,0.0703262948288038,0,783
CONTROL_concave,not convex-extendible,"[12, 60, 12]",0.5186265170781387,0.1653509584349181,0,722
