variant,oracle,n,k,eps,seed,adversarial,alg_seeds,min_ratio,mean_ratio,mean_min_ratio,exp_min_ratio,n_checkpoints,total_queries,wall_s
A1,maxcut,15,3,0.1,24,0,32,0.4557491198018944,0.7298124158781395,0.5971440585817189,0.6296649714931861,48,409,0.062007904052734375
A1,maxcut,15,5,0.1,24,0,32,0.40166792514613825,0.5737289144853267,0.4482678565054095,0.5308925145563756,48,941,0.39588117599487305
A1,dicut,15,3,0.1,24,0,32,0.3975353559005922,0.44015030590661725,0.5178851443246689,0.600526930499051,48,715,0.04000711441040039
A1,dicut,15,5,0.1,24,0,32,0.3203087268567393,0.5628674431847339,0.4673389235679798,0.5314197909367265,48,770,0.3681507110595703
