sweep,variant,oracle,adversarial,n,k,eps,seed,mean_q,p50_q,p95_q,max_q,naive_q,n_updates,wall_s,bound_shape,mode
k,A1,maxcut,0,1000,40,0.2,0,3.985,1.0,1.0,126,40000,400,2.6516737937927246,149998.2849239117,random deletions
k,A1,maxcut,0,1000,40,0.2,1,3.145,1.0,1.0,241,40000,400,2.0241379737854004,149998.2849239117,random deletions
k,A1,maxcut,0,1000,40,0.2,2,2.755,1.0,1.0,279,40000,400,1.85437536239624,149998.2849239117,random deletions
k,A1,maxcut,0,1000,80,0.2,0,29.75,1.0,1.0,896,80000,400,26.92504501342773,704406.1062010874,random deletions
k,A1,maxcut,0,1000,80,0.2,1,16.8025,1.0,1.0,752,80000,400,17.592142581939697,704406.1062010874,random deletions
k,A1,maxcut,0,1000,80,0.2,2,13.56,1.0,1.0,618,80000,400,15.13992476463318,704406.1062010874,random deletions
eps,A1,maxcut,0,1000,16,0.05,0,1.5725,1.0,1.0,59,16000,400,0.5876286029815674,411858.5390709276,random deletions
eps,A1,maxcut,0,1000,16,0.05,1,1.14,1.0,1.0,82,16000,400,0.4069974422454834,411858.5390709276,random deletions
eps,A1,maxcut,0,1000,16,0.05,2,1.0825,1.0,1.0,51,16000,400,0.4791543483734131,411858.5390709276,random deletions
eps,A1,maxcut,0,1000,16,0.1,0,1.31,1.0,1.0,70,16000,400,0.4718916416168213,85049.64097286234,random deletions
eps,A1,maxcut,0,1000,16,0.1,1,1.145,1.0,1.0,79,16000,400,0.3828244209289551,85049.64097286234,random deletions
eps,A1,maxcut,0,1000,16,0.1,2,0.9375,1.0,1.0,57,16000,400,0.4326286315917969,85049.64097286234,random deletions
eps,A1,maxcut,0,1000,16,0.2,0,0.78,1.0,1.0,43,16000,400,0.3929753303527832,19263.26252581599,random deletions
eps,A1,maxcut,0,1000,16,0.2,1,0.6975,1.0,1.0,40,16000,400,0.3262536525726318,19263.26252581599,random deletions
eps,A1,maxcut,0,1000,16,0.2,2,0.795,1.0,1.0,31,16000,400,0.4030032157897949,19263.26252581599,random deletions
eps,A1,maxcut,0,1000,16,0.4,0,0.5,0.5,1.0,1,16000,400,0.3650000095367431,4595.950480148936,random deletions
eps,A1,maxcut,0,1000,16,0.4,1,1.13,1.0,1.0,44,16000,400,0.347560167312622,4595.950480148936,random deletions
eps,A1,maxcut,0,1000,16,0.4,2,0.72,1.0,1.0,31,16000,400,0.391364574432373,4595.950480148936,random deletions
n,A1,maxcut,1,250,16,0.2,0,55.3425,15.5,137.0,152,4000,400,1.7901229858398438,19263.26252581599,adversarial deletions
n,A1,maxcut,1,250,16,0.2,1,52.1125,1.5,122.0,129,4000,400,1.353443622589111,19263.26252581599,adversarial deletions
n,A1,maxcut,1,500,16,0.2,0,53.6175,20.0,128.04999999999995,136,8000,400,2.577552080154419,19263.26252581599,adversarial deletions
n,A1,maxcut,1,500,16,0.2,1,56.7375,27.5,135.04999999999995,148,8000,400,2.525089979171753,19263.26252581599,adversarial deletions
n,A1,maxcut,1,1000,16,0.2,0,51.785,41.5,151.0,158,16000,400,3.871649742126465,19263.26252581599,adversarial deletions
n,A1,maxcut,1,1000,16,0.2,1,58.9125,29.0,156.0,164,16000,400,3.8997488021850586,19263.26252581599,adversarial deletions
n,A1,maxcut,1,2000,16,0.2,0,65.8525,37.5,186.0,195,32000,400,9.25547456741333,19263.26252581599,adversarial deletions
n,A1,maxcut,1,2000,16,0.2,1,57.6525,46.0,162.04999999999995,169,32000,400,8.351730585098267,19263.26252581599,adversarial deletions
n,A1,maxcut,1,4000,16,0.2,0,55.74,30.0,173.24999999999977,187,64000,400,17.20024299621582,19263.26252581599,adversarial deletions
n,A1,maxcut,1,4000,16,0.2,1,50.015,32.0,148.04999999999995,157,64000,400,18.049874305725098,19263.26252581599,adversarial deletions
k,A1,maxcut,1,1000,5,0.2,0,44.48,6.0,143.0999999999999,152,5000,400,1.437794208526611,1653.4712937663712,adversarial deletions
k,A1,maxcut,1,1000,5,0.2,1,38.3875,16.0,113.0,125,5000,400,1.6841981410980225,1653.4712937663712,adversarial deletions
k,A1,maxcut,1,1000,10,0.2,0,37.58,20.0,123.04999999999995,135,10000,400,2.6240150928497314,6882.43346445369,adversarial deletions
k,A1,maxcut,1,1000,10,0.2,1,48.4225,37.0,128.0,141,10000,400,3.01340913772583,6882.43346445369,adversarial deletions
k,A1,maxcut,1,1000,20,0.2,0,58.955,24.5,165.0,172,20000,400,7.943891048431396,31681.80485446155,adversarial deletions
k,A1,maxcut,1,1000,20,0.2,1,70.095,69.0,174.0,178,20000,400,9.33653450012207,31681.80485446155,adversarial deletions
k,A1,maxcut,1,1000,40,0.2,0,147.2425,60.0,345.04999999999995,367,40000,400,55.90290260314941,149998.2849239117,adversarial deletions
k,A1,maxcut,1,1000,40,0.2,1,165.6075,247.0,352.0,359,40000,400,53.60707330703735,149998.2849239117,adversarial deletions
k,A1,maxcut,1,1000,80,0.2,0,344.7625,20.0,921.0,933,80000,400,307.6234736442566,704406.1062010874,adversarial deletions
k,A1,maxcut,1,1000,80,0.2,1,313.0325,60.5,804.0,813,80000,400,277.56601333618164,704406.1062010874,adversarial deletions
eps,A1,maxcut,1,1000,16,0.05,0,66.745,64.5,151.0,174,16000,400,15.32986068725586,411858.5390709276,adversarial deletions
eps,A1,maxcut,1,1000,16,0.05,1,43.4125,2.0,96.04999999999995,100,16000,400,7.145797252655029,411858.5390709276,adversarial deletions
eps,A1,maxcut,1,1000,16,0.1,0,62.615,61.5,139.0,142,16000,400,11.942727327346802,85049.64097286234,adversarial deletions
eps,A1,maxcut,1,1000,16,0.1,1,40.2675,34.5,83.0,102,16000,400,7.516435861587524,85049.64097286234,adversarial deletions
eps,A1,maxcut,1,1000,16,0.2,0,51.785,41.5,151.0,158,16000,400,7.120537757873535,19263.26252581599,adversarial deletions
eps,A1,maxcut,1,1000,16,0.2,1,58.9125,29.0,156.0,164,16000,400,7.563897848129272,19263.26252581599,adversarial deletions
eps,A1,maxcut,1,1000,16,0.4,0,52.815,35.0,150.04999999999995,162,16000,400,6.727042198181152,4595.950480148936,adversarial deletions
eps,A1,maxcut,1,1000,16,0.4,1,56.705,20.0,165.0,171,16000,400,5.035171985626221,4595.950480148936,adversarial deletions
