variant,oracle,n,k,eps,seed,adversarial,alg_seeds,min_ratio,mean_ratio,mean_min_ratio,exp_min_ratio,n_checkpoints,total_queries,wall_s,series
A1,maxcut,15,3,0.1,0,0,8,0.4535971078054268,0.5526000091362481,0.4947127554153912,0.5149771028484985,38,358,0.0446398258209228,"A1 (audited, submodular)"
A1,maxcut,15,3,0.1,1,0,8,0.5213540774706358,0.7720722676769723,0.6243253764632017,0.6969474515012037,38,175,0.0313215255737304,"A1 (audited, submodular)"
A1,maxcut,15,3,0.1,2,0,8,0.4891405580395269,0.7024968336077798,0.5936333059195731,0.7095723841875909,38,330,0.0299043655395507,"A1 (audited, submodular)"
A1,maxcut,15,3,0.1,3,0,8,0.4739401149063112,0.6620137255379944,0.607400581376591,0.7077496839519047,38,715,0.0313758850097656,"A1 (audited, submodular)"
A1,maxcut,15,3,0.1,4,0,8,0.499030896085242,0.7352881071119086,0.5103197962812245,0.6061217603433794,38,288,0.0274112224578857,"A1 (audited, submodular)"
A1,maxcut,15,3,0.1,5,0,8,0.3880266760875526,0.7951167834811822,0.5677870363555702,0.640422114256994,38,279,0.0342564582824707,"A1 (audited, submodular)"
A1,maxcut,15,3,0.1,6,0,8,0.4178388807248362,0.7569000279238697,0.5715350781910749,0.6131051270884714,38,237,0.0322046279907226,"A1 (audited, submodular)"
A1,maxcut,15,3,0.1,7,0,8,0.3749570595135124,0.7293272798544544,0.4691725850280234,0.6184041354485206,38,137,0.0313348770141601,"A1 (audited, submodular)"
A1,maxcut,15,3,0.1,8,0,8,0.5142880095518771,0.6958137816516959,0.658953056058587,0.7212571633432088,38,183,0.0324437618255615,"A1 (audited, submodular)"
A1,maxcut,15,3,0.1,9,0,8,0.3606918660971369,0.6328203397192302,0.5505419456135313,0.6102343896706763,38,206,0.0340635776519775,"A1 (audited, submodular)"
A1,maxcut,15,3,0.1,10,0,8,0.3711441808894343,0.6809203126492681,0.5710045573470401,0.6422449971037515,38,196,0.0438752174377441,"A1 (audited, submodular)"
A1,maxcut,15,3,0.1,11,0,8,0.4517990910766308,0.6128024751129583,0.5527626083748572,0.6688965671324623,38,263,0.0296480655670166,"A1 (audited, submodular)"
A1,maxcut,15,3,0.1,12,0,8,0.5406553669481391,0.853086912320955,0.605574808280475,0.6872313941565076,38,356,0.0351862907409668,"A1 (audited, submodular)"
A1,maxcut,15,3,0.1,13,0,8,0.3990241859983769,0.6072425208833742,0.5821216495370698,0.6304308260596985,38,505,0.0325081348419189,"A1 (audited, submodular)"
A1,maxcut,15,3,0.1,14,0,8,0.3914205291412514,0.5431212948974277,0.5373659828557811,0.6330025861453031,38,270,0.0260560512542724,"A1 (audited, submodular)"
A1,maxcut,15,3,0.1,15,0,8,0.3810569698579296,0.7032585259318197,0.5330721345356388,0.6121173396987352,38,578,0.0309624671936035,"A1 (audited, submodular)"
A1,maxcut,15,5,0.1,0,0,8,0.3274102678435892,0.5900963730255439,0.4903721901932013,0.5669241986954039,38,558,0.3255729675292969,"A1 (audited, submodular)"
A1,maxcut,15,5,0.1,1,0,8,0.4128805000002002,0.7681379933391852,0.4944334304257456,0.6225739966912384,38,623,0.3024706840515136,"A1 (audited, submodular)"
A1,maxcut,15,5,0.1,2,0,8,0.2927692991965653,0.4979851098125272,0.4266725667302317,0.502936546037491,38,624,0.2948293685913086,"A1 (audited, submodular)"
A1,maxcut,15,5,0.1,3,0,8,0.3269059201122781,0.4268506281779953,0.4729659434376579,0.5147830937112702,38,785,0.3220679759979248,"A1 (audited, submodular)"
A1,maxcut,15,5,0.1,4,0,8,0.2854041745662815,0.4848360343741519,0.4774037011924206,0.579567060904495,38,799,0.3888986110687256,"A1 (audited, submodular)"
A1,maxcut,15,5,0.1,5,0,8,0.315178603819024,0.5682481735340803,0.5104463083019182,0.5639603841786532,38,659,0.3548707962036133,"A1 (audited, submodular)"
A1,maxcut,15,5,0.1,6,0,8,0.375067646584466,0.552522092816773,0.5945544947126971,0.6808187909817901,38,728,0.3396310806274414,"A1 (audited, submodular)"
A1,maxcut,15,5,0.1,7,0,8,0.2707466129402007,0.5447814910278607,0.4578402382552217,0.5059638831772452,38,684,0.3733303546905517,"A1 (audited, submodular)"
A1,maxcut,15,5,0.1,8,0,8,0.3937848782047059,0.5978675568236279,0.5226109287686322,0.6000826248568588,38,681,0.3094115257263183,"A1 (audited, submodular)"
A1,maxcut,15,5,0.1,9,0,8,0.3344980543393507,0.4466599225035034,0.5304874620242815,0.6024960628485877,38,813,0.3513791561126709,"A1 (audited, submodular)"
A1,maxcut,15,5,0.1,10,0,8,0.2928142538174532,0.4905832582468466,0.49193615484025,0.5433007382971291,38,646,0.4542551040649414,"A1 (audited, submodular)"
A1,maxcut,15,5,0.1,11,0,8,0.3142100176662025,0.5280177096279517,0.5324751841347577,0.5995843433732445,38,754,0.3389961719512939,"A1 (audited, submodular)"
A1,maxcut,15,5,0.1,12,0,8,0.3852338319218485,0.6275687264603589,0.4997158416902517,0.6029840860772365,38,598,0.3269858360290527,"A1 (audited, submodular)"
A1,maxcut,15,5,0.1,13,0,8,0.3715115179273575,0.5795620112320043,0.5049833020763034,0.571885254333028,38,728,0.3339812755584717,"A1 (audited, submodular)"
A1,maxcut,15,5,0.1,14,0,8,0.3749930130362568,0.5286727566890103,0.5149532533455077,0.5743920717756423,38,785,0.3617079257965088,"A1 (audited, submodular)"
