sweep,variant,oracle,adversarial,n,k,eps,seed,mean_q,p50_q,p95_q,max_q,naive_q,n_updates,wall_s,bound_shape
n,A2,maxcut,0,300,8,0.2,0,0.775,1.0,1.0,21,2400,120,4.78093957901001,4285.957614079456
k,A2,maxcut,0,300,4,0.2,0,0.5,0.5,1.0,1,1200,120,0.7758221626281738,1073.638589229552
k,A2,maxcut,0,300,8,0.2,0,0.775,1.0,1.0,21,2400,120,5.275212526321411,4285.957614079456
k,A2,maxcut,0,300,16,0.2,0,2.7083333333333335,1.0,1.0,87,4800,120,34.74736404418945,19263.26252581599
k,A2,maxcut,0,300,32,0.2,0,20.166666666666668,1.0,186.59999999999997,331,9600,120,257.1706347465515,90921.4906247236
eps,A2,maxcut,0,300,8,0.2,0,0.775,1.0,1.0,21,2400,120,5.467827558517456,4285.957614079456
