variant,oracle,n,k,eps,seed,adversarial,min_ratio,mean_ratio,n_checkpoints,total_queries,wall_s
A1,dicut,15,5,0.1,6,0,0.4138605491971597,0.699282745879613,48,1119,0.35456085205078125
A1,dicut,15,5,0.1,6,1,0.4138605491971597,0.6826294574957771,48,6016,0.3634507656097412
A1,dicut,15,5,0.1,7,0,0.6655025785746455,0.760128052440857,48,1266,0.3624441623687744
A1,dicut,15,5,0.1,7,1,0.6322514354025426,0.6998533124064329,48,5561,0.3640172481536865
A1,dicut,15,5,0.1,8,0,0.6067981326736863,0.8440290014126433,48,889,0.33657002449035645
A1,dicut,15,5,0.1,8,1,0.6067981326736863,0.8974781825406905,48,4050,0.3434109687805176
A1,dicut,15,5,0.1,9,0,0.48091985331505366,0.7827605834726431,48,1239,0.34871888160705566
A1,dicut,15,5,0.1,9,1,0.48091985331505366,0.7273470347224541,48,4414,0.3567535877227783
A1,dicut,15,5,0.1,10,0,0.6895002846625079,0.7720496523191934,48,654,0.3544604778289795
A1,dicut,15,5,0.1,10,1,0.6525573468537397,0.7354851614127978,48,3113,0.3532686233520508
A1,dicut,15,5,0.1,11,0,0.3195984792639004,0.8137722133238801,48,2130,0.347034215927124
A1,dicut,15,5,0.1,11,1,0.3195984792639004,0.7595024413960484,48,10730,0.3722391128540039
A1,dicut,15,5,0.1,12,0,0.4428697148728029,0.7127100313062872,48,1403,0.33287954330444336
A1,dicut,15,5,0.1,12,1,0.4428697148728029,0.6726060769624267,48,2060,0.3318173885345459
A1,dicut,15,5,0.1,13,0,0.40246655560643496,0.5778112289908252,48,1031,0.359328031539917
A1,dicut,15,5,0.1,13,1,0.3409865128417648,0.49389529547192623,48,1561,0.36628103256225586
A1,dicut,15,5,0.1,14,0,0.45960534703831657,0.6837500952615851,48,310,0.35758304595947266
A1,dicut,15,5,0.1,14,1,0.45960534703831657,0.6944452597143259,48,4569,0.3660919666290283
A1,dicut,15,5,0.1,15,0,0.4898504637351542,0.692790138970512,48,853,0.33551454544067383
A1,dicut,15,5,0.1,15,1,0.4898504637351542,0.7160487627833819,48,2371,0.3335726261138916
A1,dicut,15,5,0.1,16,0,0.5416150690526828,0.7506351171751436,48,861,0.35367894172668457
A1,dicut,15,5,0.1,16,1,0.5416150690526828,0.7640557988985464,48,4098,0.3619861602783203
A1,dicut,15,5,0.1,17,0,0.5413176263695633,0.6975821447115629,48,2175,0.33353734016418457
A1,dicut,15,5,0.1,17,1,0.47104915913584383,0.6407831518114333,48,2992,0.329850435256958
A1,dicut,15,5,0.1,18,0,0.4975703087490605,0.8313769389112101,48,670,0.3574087619781494
A1,dicut,15,5,0.1,18,1,0.4975703087490605,0.6811760521494096,48,1262,0.35931944847106934
A1,dicut,15,5,0.1,19,0,0.3892435667760198,0.6306976911932471,48,4900,0.3635528087615967
A1,dicut,15,5,0.1,19,1,0.3892435667760198,0.6057074241555452,48,13149,0.3644847869873047
A1,dicut,15,5,0.1,20,0,0.3926118206847189,0.7549321050208858,48,263,0.35637927055358887
A1,dicut,15,5,0.1,20,1,0.3926118206847189,0.8377261725242802,48,2048,0.3560314178466797
A1,dicut,15,5,0.1,21,0,0.44396589943954756,0.701797997120766,48,543,0.31058669090270996
A1,dicut,15,5,0.1,21,1,0.44396589943954756,0.7390536274661095,48,2000,0.31281208992004395
A1,dicut,15,5,0.1,22,0,0.6490632746012563,0.7219136657677007,48,1282,0.3481738567352295
A1,dicut,15,5,0.1,22,1,0.5638962967332475,0.6226900592907518,48,5497,0.3733210563659668
A1,dicut,15,5,0.1,23,0,0.5451053085524462,0.645564506036847,48,2254,0.3481781482696533
A1,dicut,15,5,0.1,23,1,0.5451053085524462,0.62345834001977,48,8002,0.3564610481262207
A1,dicut,15,5,0.1,24,0,0.25067931928149484,0.584101844551047,48,946,0.3421766757965088
