variant,oracle,n,k,eps,seed,adversarial,alg_seeds,min_ratio,mean_ratio,mean_min_ratio,exp_min_ratio,n_checkpoints,total_queries,wall_s
A1,maxcut,15,3,0.1,0,0,8,0.4535971078054268,0.5526000091362481,0.4947127554153912,0.5149771028484985,38,358,0.04463982582092285
A1,maxcut,15,3,0.1,1,0,8,0.5213540774706358,0.7720722676769723,0.6243253764632017,0.6969474515012037,38,175,0.03132152557373047
A1,maxcut,15,3,0.1,2,0,8,0.4891405580395269,0.7024968336077798,0.5936333059195731,0.7095723841875909,38,330,0.02990436553955078
A1,maxcut,15,3,0.1,3,0,8,0.47394011490631127,0.6620137255379944,0.607400581376591,0.7077496839519047,38,715,0.031375885009765625
A1,maxcut,15,3,0.1,4,0,8,0.49903089608524204,0.7352881071119086,0.5103197962812245,0.6061217603433794,38,288,0.027411222457885742
A1,maxcut,15,3,0.1,5,0,8,0.38802667608755265,0.7951167834811822,0.5677870363555702,0.640422114256994,38,279,0.0342564582824707
A1,maxcut,15,3,0.1,6,0,8,0.41783888072483627,0.7569000279238697,0.5715350781910749,0.6131051270884714,38,237,0.032204627990722656
A1,maxcut,15,3,0.1,7,0,8,0.37495705951351244,0.7293272798544544,0.4691725850280234,0.6184041354485206,38,137,0.031334877014160156
A1,maxcut,15,3,0.1,8,0,8,0.5142880095518771,0.6958137816516959,0.658953056058587,0.7212571633432088,38,183,0.03244376182556152
A1,maxcut,15,3,0.1,9,0,8,0.3606918660971369,0.6328203397192302,0.5505419456135313,0.6102343896706763,38,206,0.03406357765197754
A1,maxcut,15,3,0.1,10,0,8,0.37114418088943435,0.6809203126492681,0.5710045573470401,0.6422449971037515,38,196,0.04387521743774414
A1,maxcut,15,3,0.1,11,0,8,0.45179909107663085,0.6128024751129583,0.5527626083748572,0.6688965671324623,38,263,0.0296480655670166
A1,maxcut,15,3,0.1,12,0,8,0.5406553669481391,0.853086912320955,0.605574808280475,0.6872313941565076,38,356,0.0351862907409668
A1,maxcut,15,3,0.1,13,0,8,0.39902418599837697,0.6072425208833742,0.5821216495370698,0.6304308260596985,38,505,0.032508134841918945
A1,maxcut,15,3,0.1,14,0,8,0.3914205291412514,0.5431212948974277,0.5373659828557811,0.6330025861453031,38,270,0.02605605125427246
A1,maxcut,15,3,0.1,15,0,8,0.38105696985792964,0.7032585259318197,0.5330721345356388,0.6121173396987352,38,578,0.030962467193603516
A1,maxcut,15,5,0.1,0,0,8,0.3274102678435892,0.5900963730255439,0.4903721901932013,0.5669241986954039,38,558,0.3255729675292969
A1,maxcut,15,5,0.1,1,0,8,0.41288050000020027,0.7681379933391852,0.49443343042574567,0.6225739966912384,38,623,0.30247068405151367
A1,maxcut,15,5,0.1,2,0,8,0.2927692991965653,0.49798510981252725,0.42667256673023174,0.502936546037491,38,624,0.2948293685913086
A1,maxcut,15,5,0.1,3,0,8,0.3269059201122781,0.4268506281779953,0.47296594343765797,0.5147830937112702,38,785,0.3220679759979248
A1,maxcut,15,5,0.1,4,0,8,0.28540417456628153,0.48483603437415196,0.4774037011924206,0.579567060904495,38,799,0.3888986110687256
A1,maxcut,15,5,0.1,5,0,8,0.315178603819024,0.5682481735340803,0.5104463083019182,0.5639603841786532,38,659,0.3548707962036133
A1,maxcut,15,5,0.1,6,0,8,0.37506764658446606,0.552522092816773,0.5945544947126971,0.6808187909817901,38,728,0.3396310806274414
A1,maxcut,15,5,0.1,7,0,8,0.2707466129402007,0.5447814910278607,0.45784023825522174,0.5059638831772452,38,684,0.37333035469055176
A1,maxcut,15,5,0.1,8,0,8,0.3937848782047059,0.5978675568236279,0.5226109287686322,0.6000826248568588,38,681,0.30941152572631836
A1,maxcut,15,5,0.1,9,0,8,0.33449805433935076,0.4466599225035034,0.5304874620242815,0.6024960628485877,38,813,0.3513791561126709
A1,maxcut,15,5,0.1,10,0,8,0.29281425381745324,0.4905832582468466,0.49193615484025,0.5433007382971291,38,646,0.4542551040649414
A1,maxcut,15,5,0.1,11,0,8,0.31421001766620255,0.5280177096279517,0.5324751841347577,0.5995843433732445,38,754,0.33899617195129395
A1,maxcut,15,5,0.1,12,0,8,0.38523383192184857,0.6275687264603589,0.4997158416902517,0.6029840860772365,38,598,0.32698583602905273
A1,maxcut,15,5,0.1,13,0,8,0.3715115179273575,0.5795620112320043,0.5049833020763034,0.571885254333028,38,728,0.3339812755584717
A1,maxcut,15,5,0.1,14,0,8,0.3749930130362568,0.5286727566890103,0.5149532533455077,0.5743920717756423,38,785,0.3617079257965088
A1,maxcut,15,5,0.1,15,0,8,0.47016098190417377,0.7060495560287608,0.5530623284106877,0.6588732656596386,38,713,0.30737853050231934
A1,dicut,15,3,0.1,0,0,8,0.4432774682660719,0.9229960732238354,0.5471673222792917,0.6559909343628333,38,124,0.028581857681274414
A1,dicut,15,3,0.1,1,0,8,0.3664547442201631,0.41149040683860766,0.49480606210699335,0.5191752417282806,38,503,0.03131294250488281
A1,dicut,15,3,0.1,2,0,8,0.3957869958394191,0.6758968545834558,0.6083075919073324,0.6423432398096148,38,291,0.027929067611694336
A1,dicut,15,3,0.1,3,0,8,0.3657094018674225,0.4586889898551934,0.5134769332157334,0.6421482788499122,38,413,0.031191587448120117
A1,dicut,15,3,0.1,4,0,8,0.46163539574891155,0.5773150453344232,0.5794871781252817,0.6564756861447901,38,347,0.029727935791015625
A1,dicut,15,3,0.1,5,0,8,0.47242558076652696,0.6883833258657205,0.5758954279693282,0.6317293114931131,38,182,0.030202150344848633
A1,dicut,15,3,0.1,6,0,8,0.4348857551429332,0.5381646627423308,0.5856352129288238,0.652397635138759,38,398,0.03223276138305664
A1,dicut,15,3,0.1,7,0,8,0.4157529463888621,0.4443610259983555,0.5092365726944138,0.6238649516812873,38,400,0.029491424560546875
A1,dicut,15,3,0.1,8,0,8,0.42404493423258033,0.8187933391727976,0.5656674928925716,0.661723432299627,38,409,0.0289309024810791
A1,dicut,15,3,0.1,9,0,8,0.5172351688762643,0.6918199565348978,0.6009077231710482,0.6869410204042148,38,619,0.03141450881958008
A1,dicut,15,3,0.1,10,0,8,0.5597356265484754,0.6672777073981766,0.5035042041347269,0.6140610556931252,38,187,0.028743505477905273
A1,dicut,15,3,0.1,11,0,8,0.45053564205367036,0.7038299345424606,0.5380468077422698,0.5548620186800476,38,455,0.030104398727416992
A1,dicut,15,3,0.1,12,0,8,0.45096952431740017,0.599780178147459,0.5652203674842522,0.5954791277984838,38,184,0.02855205535888672
A1,dicut,15,3,0.1,13,0,8,0.4127505272596228,0.6732935343284214,0.5319003382297276,0.6147563660942486,38,225,0.031780242919921875
A1,dicut,15,3,0.1,14,0,8,0.4516465194208665,0.579545805426664,0.48104491579637965,0.522239509471289,38,179,0.027752161026000977
A1,dicut,15,3,0.1,15,0,8,0.42635828925453556,0.4979226600422316,0.638274353697639,0.7216200855603387,38,344,0.028714418411254883
A1,dicut,15,5,0.1,0,0,8,0.39219367420281925,0.4249754868149834,0.49383136422537927,0.6127383562193428,38,571,0.2829625606536865
A1,dicut,15,5,0.1,1,0,8,0.37282113511522336,0.41322410338756027,0.4652762706412712,0.5653844539923317,38,568,0.26139354705810547
A1,dicut,15,5,0.1,2,0,8,0.2802168189116879,0.4653187858836623,0.5013013006943343,0.5263278003161049,38,754,0.2858133316040039
A1,dicut,15,5,0.1,3,0,8,0.3629917119158192,0.5045265627038013,0.4333497916844253,0.5206374267234307,38,755,0.2858760356903076
A1,dicut,15,5,0.1,4,0,8,0.4689696962731911,0.6376049162559665,0.5119185663351774,0.6337449883190125,38,694,0.3265376091003418
A1,dicut,15,5,0.1,5,0,8,0.4467227367064142,0.6692826781453584,0.45784157686284843,0.5664992656851447,38,628,0.29497838020324707
A1,dicut,15,5,0.1,6,0,8,0.3727203956751013,0.42817470953414005,0.5358168538031695,0.6045636318221528,38,755,0.28372836112976074
A1,dicut,15,5,0.1,7,0,8,0.43689062592285705,0.6659084222253849,0.48610366774149705,0.5603501517015204,38,657,0.2934391498565674
A1,dicut,15,5,0.1,8,0,8,0.2698176338723372,0.48706656192874903,0.44494553073984444,0.4956337206178398,38,678,0.2930111885070801
A1,dicut,15,5,0.1,9,0,8,0.39497735369738274,0.6245098253826215,0.4391880198438585,0.5126424303958703,38,652,0.28598785400390625
A1,dicut,15,5,0.1,10,0,8,0.4148329890270857,0.5959666048746441,0.5065874067707878,0.6067219523147914,38,692,0.30484461784362793
A1,dicut,15,5,0.1,11,0,8,0.340931462476431,0.4607359263932125,0.4972999077112603,0.5647453782196248,38,742,0.2890899181365967
A1,dicut,15,5,0.1,12,0,8,0.32770491266428814,0.4379141010584548,0.45525496882508387,0.5326446703211212,38,771,0.26944708824157715
A1,dicut,15,5,0.1,13,0,8,0.31929107409246377,0.4444642805991335,0.4871551467616053,0.6098367083932799,38,743,0.2928588390350342
A1,dicut,15,5,0.1,14,0,8,0.5249341413472697,0.777378218445978,0.5023341925141894,0.6066865264962134,38,744,0.29057860374450684
A1,dicut,15,5,0.1,15,0,8,0.32392860899411163,0.4763248822206272,0.4125070999390984,0.5017095115467498,38,537,0.2981693744659424
A1,covcost,15,3,0.1,0,0,8,0.40257214731067015,0.44898863253535215,0.5925758397809722,0.6564809927978799,38,437,0.04534482955932617
A1,covcost,15,3,0.1,1,0,8,0.5386438920893448,0.6182910647414401,0.4972762739471632,0.5177259013755136,38,533,0.03928399085998535
A1,covcost,15,3,0.1,2,0,8,0.521252610918773,0.5425650649121379,0.5451670921188343,0.6759547182396423,38,369,0.046106576919555664
A1,covcost,15,3,0.1,3,0,8,0.5488658343866513,0.5825757511187313,0.6600376305695985,0.7000667781073305,38,229,0.04334139823913574
A1,covcost,15,3,0.1,4,0,8,0.48889064651087355,0.5301528754892599,0.533409869875147,0.5741699019881158,38,404,0.04227495193481445
A1,covcost,15,3,0.1,5,0,8,0.462601290187676,0.5998478384599337,0.5043756212939507,0.5670106308562396,38,1061,0.045687198638916016
A1,covcost,15,3,0.1,6,0,8,0.43235676511203047,0.5447943671121473,0.5750259409129455,0.6294645700965252,38,722,0.0444486141204834
A1,covcost,15,3,0.1,7,0,8,0.46465987354448657,0.7006117563914558,0.5129185916626747,0.603653091298325,38,721,0.051851511001586914
A1,covcost,15,3,0.1,8,0,8,0.45868130949890484,0.6702570232345152,0.568890253548399,0.6503821924312951,38,1179,0.055342912673950195
A1,covcost,15,3,0.1,9,0,8,0.5026292791540358,0.6554000745778217,0.5797956304821791,0.6355035018373854,38,309,0.043840646743774414
A1,covcost,15,3,0.1,10,0,8,0.4879211221115969,0.6233911259700364,0.6453827356943427,0.7230719841649039,38,357,0.05147695541381836
A1,covcost,15,3,0.1,11,0,8,0.4299910763574918,0.6131359113710735,0.5161946239800341,0.5511853708431624,38,255,0.040882110595703125
A1,covcost,15,3,0.1,12,0,8,0.5045635088351869,0.5354337236259754,0.5564301085907892,0.6514014428474733,38,384,0.04228353500366211
A1,covcost,15,3,0.1,13,0,8,0.4845826490270226,0.5477447692571275,0.5413667494549554,0.5966933981209976,38,392,0.03911185264587402
A1,covcost,15,3,0.1,14,0,8,0.6817212165100318,0.930253823848594,0.6203699791099072,0.6958059908814642,38,490,0.04116320610046387
A1,covcost,15,3,0.1,15,0,8,0.4888762499910853,0.7231510165541536,0.5548515428052851,0.6201420687849856,38,317,0.03988242149353027
A1,covcost,15,5,0.1,0,0,8,0.3512641111926467,0.6935881827259075,0.49172936940430756,0.5966272298474531,38,422,0.3488445281982422
A1,covcost,15,5,0.1,1,0,8,0.40193434448461507,0.6482695984178595,0.5184353487101565,0.6156877194379864,38,403,0.33943724632263184
A1,covcost,15,5,0.1,2,0,8,0.4120983660441553,0.7584842320148933,0.5097943920620784,0.6072813656769696,37,734,0.3681159019470215
A1,covcost,15,5,0.1,3,0,8,0.49130601290634335,0.536477891769752,0.60555776258709,0.6935932478132898,38,372,0.34406042098999023
