layer_group,L0_fit,L1_fit,n_points
bias1,12.904428572598961,6.889671625694878,998
conv1,2.4091439362533706,5.8168008702998035,980
bias2,14.704108932273478,7.188059783184761,964
conv2,1.9384243265868322,5.999458139016269,990
head,0.12821933957035803,7.723920339520397,995
