special_case,seed,shape,t,max_abs_diff,pass
unscion_llm_block,2,"(16, 16)",3.7,0.0,True
unscion_llm_block,3,"(16, 16)",0.01,0.0,True
unscion_llm_block,3,"(16, 16)",0.1,0.0,True
unscion_llm_block,3,"(16, 16)",1.0,0.0,True
unscion_llm_block,3,"(16, 16)",3.7,0.0,True
unscion_llm_block,4,"(16, 16)",0.01,0.0,True
unscion_llm_block,4,"(16, 16)",0.1,0.0,True
unscion_llm_block,4,"(16, 16)",1.0,0.0,True
unscion_llm_block,4,"(16, 16)",3.7,0.0,True
unscion_llm_block,0,"(6, 10)",0.01,0.0,True
unscion_llm_block,0,"(6, 10)",0.1,2.220446049250313e-16,True
unscion_llm_block,0,"(6, 10)",1.0,0.0,True
unscion_llm_block,0,"(6, 10)",3.7,4.440892098500626e-16,True
unscion_llm_block,1,"(6, 10)",0.01,2.168404344971009e-19,True
unscion_llm_block,1,"(6, 10)",0.1,1.1102230246251565e-16,True
unscion_llm_block,1,"(6, 10)",1.0,0.0,True
unscion_llm_block,1,"(6, 10)",3.7,4.440892098500626e-16,True
unscion_llm_block,2,"(6, 10)",0.01,0.0,True
unscion_llm_block,2,"(6, 10)",0.1,2.220446049250313e-16,True
unscion_llm_block,2,"(6, 10)",1.0,0.0,True
unscion_llm_block,2,"(6, 10)",3.7,4.440892098500626e-16,True
unscion_llm_block,3,"(6, 10)",0.01,8.673617379884035e-19,True
unscion_llm_block,3,"(6, 10)",0.1,1.3877787807814457e-17,True
unscion_llm_block,3,"(6, 10)",1.0,0.0,True
unscion_llm_block,3,"(6, 10)",3.7,8.881784197001252e-16,True
unscion_llm_block,4,"(6, 10)",0.01,1.734723475976807e-18,True
unscion_llm_block,4,"(6, 10)",0.1,5.551115123125783e-17,True
unscion_llm_block,4,"(6, 10)",1.0,0.0,True
unscion_llm_block,4,"(6, 10)",3.7,4.440892098500626e-16,True
unscion_llm_block,0,"(12, 6)",0.01,1.1102230246251565e-16,True
unscion_llm_block,0,"(12, 6)",0.1,1.3877787807814457e-17,True
unscion_llm_block,0,"(12, 6)",1.0,2.220446049250313e-16,True
unscion_llm_block,0,"(12, 6)",3.7,0.0,True
unscion_llm_block,1,"(12, 6)",0.01,6.938893903907228e-18,True
