matrix,layer_group,L0_fit,L1_fit,n_samples
E (embed/output),embed_output,0.6077816906402564,1.9781324062748493,699
block0.Wq,transformer_block,0.14543679057910944,81.17182856890305,699
block0.Wk,transformer_block,0.0,83.21862110297526,699
block0.Wv,transformer_block,0.0,85.50241441899384,699
block0.Wo,transformer_block,0.0,85.35050649888836,699
block0.W1,transformer_block,3.9651316130508554,80.75305649994698,699
block0.W2,transformer_block,4.619223772954412,80.33435614077959,699
block1.Wq,transformer_block,1.6074572572125563,67.03812091446115,699
block1.Wk,transformer_block,1.0804818576932438,71.27312531812977,699
block1.Wv,transformer_block,8.898327806856303,74.5395139771347,699
block1.Wo,transformer_block,9.398633032561028,71.98369031314155,699
block1.W1,transformer_block,13.878401765730075,73.3174611087929,699
block1.W2,transformer_block,5.683468256980335,77.15077722859444,699
