layer_group,L0_fit,L1_fit,n_samples,predicted_stepsize_1_over_L1,tuned_stepsize_used,claim,n_points
transformer_block,0.0,83.89461611869736,8388.0,0.0119197160230778,0.02,4,
embed_output,0.6077816906402564,1.978132406274849,699.0,0.5055273331693532,0.5,4,
bias1,12.90442857259896,6.889671625694878,,,,5,998.0
conv1,2.40914393625337,5.816800870299804,,,,5,980.0
bias2,14.704108932273478,7.188059783184761,,,,5,964.0
conv2,1.938424326586832,5.999458139016269,,,,5,990.0
head,0.128219339570358,7.723920339520397,,,,5,995.0
