K,metric_value,claim,n_seeds
50,0.8048622857846504,2,
100,0.403977763216199,2,
200,0.1793783568365295,2,
400,0.0630352184701799,2,
800,0.029628580234996,2,
1600,0.0140850186662604,2,
50,2.828073309306498,3,15.0
100,2.1413297930689112,3,15.0
200,1.773112996535647,3,15.0
400,1.382423375596051,3,15.0
800,1.066694061745037,3,15.0
1600,0.8416031907705843,3,15.0
