layer_group,L0_fit,L1_fit,n_samples,predicted_stepsize_1_over_L1,tuned_stepsize_used
transformer_block,0.0,83.89461611869736,8388,0.011919716023077825,0.02
embed_output,0.6077816906402564,1.9781324062748493,699,0.5055273331693532,0.5
